Code AGB,Code CIQUAL,Groupe d'aliment,Sous-groupe d'aliment,Nom du Produit en Français,LCI Name,DQR,Nom et code,Total,Agriculture,Transformation,Emballage,Transport,Supermarché et distribution,Consommation,Total
11084,11084,aides culinaires et ingrédients divers,algues,"Agar (algue), cru","Seaweed, agar, raw",2.99,"Agar (algue), cru (11084)",1.2318794321700004,4.5692586,1.4924151,0.29025198,0.38440419,0.020134715,0.0099427296,6.7664073145999994
11023,11023,aides culinaires et ingrédients divers,herbes,"Ail séché, poudre","Garlic, powder, dried",4.11,"Ail séché, poudre (11023)",0.10314961439999999,0.066043008,0,0.47839023,0.18926756,0.015708527,0,0.749409325
11000,11000,aides culinaires et ingrédients divers,herbes,"Ail, cru","Garlic, fresh",3.54,"Ail, cru (11000)",0.0638137423,0.08255376,0,0,0.17356263,0.019635659,0.080370398,0.35612244699999995
11093,11093,aides culinaires et ingrédients divers,herbes,"Aneth, frais","Dill, fresh",3.75,"Aneth, frais (11093)",0.13208131129999998,0.22251419,0,0.32945583,0.16296786,0.019635659,0.080370398,0.8149439369999999
20995,20995,aides culinaires et ingrédients divers,algues,"Ao-nori (Enteromorpha sp.), séchée ou déshydratée","Sea lettuce (Enteromorpha sp.), dried or dehydrated",2.99,"Ao-nori (Enteromorpha sp.), séchée ou déshydratée (20995)",1.2318794321700004,4.5692586,1.4924151,0.29025198,0.38440419,0.020134715,0.0099427296,6.7664073145999994
20998,20998,aides culinaires et ingrédients divers,algues,"Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté","North Atlantic rockweed (Ascophyllum nodosum), dried or dehydrated",2.99,"Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté (20998)",1.2052509401700002,4.5692586,1.4924151,0.29025198,0.19892614,0.020134715,0.0099427296,6.5809292646
37000,37000,aides culinaires et ingrédients divers,ingrédients divers,Base de pizza à la crème,cream sauce for pizza base,2.89,Base de pizza à la crème (37000),0.2222526096,1.4380756,0.29648764,0.11005412,0.11603438,0.019530673,0,1.980182413
37002,37002,aides culinaires et ingrédients divers,ingrédients divers,Base de pizza tomatée,Tomato sauce for pizza base,3.19,Base de pizza tomatée (37002),0.1465521723,0.23297293,0.16802913,0.11005412,0.19066785,0.019530673,0,0.7212547029999999
11033,11033,aides culinaires et ingrédients divers,herbes,"Basilic, frais","Basil, fresh",3.75,"Basilic, frais (11033)",0.13208131129999998,0.22251419,0,0.32945583,0.16296786,0.019635659,0.080370398,0.8149439369999999
11032,11032,aides culinaires et ingrédients divers,herbes,"Basilic, séché","Basil, dried",3.75,"Basilic, séché (11032)",0.3983156094,0.88293631,0,0.47839023,0.17575,0.015708527,0,1.5527850669999999
11507,11507,aides culinaires et ingrédients divers,ingrédients divers,Bicarbonate de soude,Sodium bicarbonate,2.97,Bicarbonate de soude (11507),0.22206533930000003,0,0.90318532,0.10111942,0.10876678,0.016099071,0,1.129170591
11025,11025,aides culinaires et ingrédients divers,épices,"Cannelle, poudre","Cinnamon, powder",3.37,"Cannelle, poudre (11025)",1.4235719893999998,7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0,9.192785467
11075,11075,aides culinaires et ingrédients divers,épices,"Cardamome, poudre","Cardamom, powder",4.31,"Cardamome, poudre (11075)",1.4235719893999998,7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0,9.192785467
11064,11064,aides culinaires et ingrédients divers,épices,"Carvi, graine","Caraway, seed",3.95,"Carvi, graine (11064)",1.4235719893999998,7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0,9.192785467
11002,11002,aides culinaires et ingrédients divers,herbes,"Cerfeuil, frais","Chervil, fresh",3.95,"Cerfeuil, frais (11002)",0.13208131129999998,0.22251419,0,0.32945583,0.16296786,0.019635659,0.080370398,0.8149439369999999
11003,11003,aides culinaires et ingrédients divers,herbes,"Ciboule ou Ciboulette, fraîche","Chive or spring onion, fresh",3.75,"Ciboule ou Ciboulette, fraîche (11003)",0.0899749673,0.08255376,0,0.32945583,0.16296786,0.019635659,0.080370398,0.674983507
11052,11052,aides culinaires et ingrédients divers,épices,Clou de girofle,Cloves,3.56,Clou de girofle (11052),1.4222154024,7.9104529,0.44488216,0.47839023,0.33480131,0.015708527,0,9.184235126999999
11094,11094,aides culinaires et ingrédients divers,herbes,"Coriandre, fraiche","Coriander, fresh",3.75,"Coriandre, fraiche (11094)",0.1096168154,0.39568158,0,0.30248619,0.22559266,0.01727938,0.032148159,0.9731879689999999
11026,11026,aides culinaires et ingrédients divers,épices,"Coriandre, graine","Coriander, seed",3.75,"Coriandre, graine (11026)",0.13067124440000003,0.35971052,0,0.47839023,0.25043965,0.015708527,0,1.1042489269999998
11172,11172,aides culinaires et ingrédients divers,aides culinaires,"Court-bouillon pour poissons, déshydraté","Aromatic stock cube, for fish, dehydrated",3.55,"Court-bouillon pour poissons, déshydraté (11172)",2.07901484975,0.6070129,6.220799,2.3153095,0.23349741,0.019530673,0.02901211,9.425161593
39700,39700,aides culinaires et ingrédients divers,sauces,"Crème anglaise, préemballée","Light custard cream with vanilla, prepacked",1.78,"Crème anglaise, préemballée (39700)",0.21878418799999996,1.1199501,0.18772836,0.17736425,0.21946904,0.039628148,0.0066875618,1.7508274598
11042,11042,aides culinaires et ingrédients divers,épices,"Cumin, graine","Cumin, seed",3.75,"Cumin, graine (11042)",1.4235719893999998,7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0,9.192785467
11089,11089,aides culinaires et ingrédients divers,épices,"Curcuma, poudre","Turmeric, powder",4.31,"Curcuma, poudre (11089)",1.4235719893999998,7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0,9.192785467
11005,11005,aides culinaires et ingrédients divers,épices,"Curry, poudre","Curry, powder",4.11,"Curry, poudre (11005)",1.4235719893999998,7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0,9.192785467
20988,20988,aides culinaires et ingrédients divers,algues,"Dulse (Palmaria palmata), séchée ou déshydratée","Dulse (Palmaria palmata), dried or dehydrated",2.99,"Dulse (Palmaria palmata), séchée ou déshydratée (20988)",1.2052509401700002,4.5692586,1.4924151,0.29025198,0.19892614,0.020134715,0.0099427296,6.5809292646
11092,11092,aides culinaires et ingrédients divers,herbes,"Estragon, frais","Tarragon, fresh",3.75,"Estragon, frais (11092)",0.1150219144,0.19581249,0,0.30248619,0.14343405,0.01727938,0.032148159,0.6911602689999999
11066,11066,aides culinaires et ingrédients divers,épices,"Fenouil, graine","Fennel, seed",4.14,"Fenouil, graine (11066)",0.13067124440000003,0.35971052,0,0.47839023,0.25043965,0.015708527,0,1.1042489269999998
11077,11077,aides culinaires et ingrédients divers,épices,"Fenugrec, graine","Fenugreek, seed",3.75,"Fenugrec, graine (11077)",1.4235719893999998,7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0,9.192785467
11082,11082,aides culinaires et ingrédients divers,sels,"Fleur de sel, non iodée, non fluorée","Pure sea salt, no enrichment",2.02,"Fleur de sel, non iodée, non fluorée (11082)",0.07942547059999999,0.29805322,0,0.17736425,0.11062475,0.019530673,0,0.605572893
20994,20994,aides culinaires et ingrédients divers,algues,"Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté","Toothed wrack or bladder wrack (Fucus serratus et vesiculosus), dried or dehydrated",2.99,"Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté (20994)",1.2052509401700002,4.5692586,1.4924151,0.29025198,0.19892614,0.020134715,0.0099427296,6.5809292646
11007,11007,aides culinaires et ingrédients divers,ingrédients divers,"Gélatine, sèche","Gelatine, dried",2.83,"Gélatine, sèche (11007)",0.2501207743,1.4507463,0.10160117,0.10111942,0.11277781,0.016099071,0,1.782343771
11006,11006,aides culinaires et ingrédients divers,épices,"Gingembre, poudre","Ginger, powder",4.31,"Gingembre, poudre (11006)",0.1316118944,0.1586463,0,0.47839023,0.32994269,0.015708527,0,0.9826877470000001
11074,11074,aides culinaires et ingrédients divers,épices,"Gingembre, racine crue","Ginger, raw",3.73,"Gingembre, racine crue (11074)",0.0768830724,0.1586463,0,0,0.27952523,0.015708527,0,0.453880057
20993,20993,aides culinaires et ingrédients divers,algues,"Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée","Gracilaria seaweeds (Gracilaria verrucosa), dried or dehydrated",2.99,"Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée (20993)",1.2318794321700004,4.5692586,1.4924151,0.29025198,0.38440419,0.020134715,0.0099427296,6.7664073145999994
25620,25620,aides culinaires et ingrédients divers,sauces,"Guacamole, préemballé","Guacamole, prepacked",2.51,"Guacamole, préemballé (25620)",0.3254792657000001,0.67373752,0.22830009,0.17097517,0.35103859,0.037393191,0.0066875618,1.4681321228
20992,20992,aides culinaires et ingrédients divers,algues,"Haricot de mer (Himanthalia elongata), séchée ou déshydratée","Sea thong (Himanthalia elongata), dried or dehydrated",2.99,"Haricot de mer (Himanthalia elongata), séchée ou déshydratée (20992)",1.2052509401700002,4.5692586,1.4924151,0.29025198,0.19892614,0.020134715,0.0099427296,6.5809292646
11112,11112,aides culinaires et ingrédients divers,sauces,Harissa (sauce condimentaire),"Harissa (hot spicy sauce), prepacked",2.98,Harissa (sauce condimentaire) (11112),0.290235593,0.68572277,0.21092533,0.17736425,0.30380826,0.039628148,0.0066875618,1.4241363198
11060,11060,aides culinaires et ingrédients divers,herbes,"Herbes de Provence, séchées","Provence herbs, dried",3.13,"Herbes de Provence, séchées (11060)",0.40162861140000006,0.89176567,0,0.47839023,0.17602476,0.015708527,0,1.5618891869999998
25621,25621,aides culinaires et ingrédients divers,sauces,Houmous,Hummus,2.95,Houmous (25621),0.1754675337,0.30863861,0.15735649,0.17097517,0.27282249,0.037393191,0.0066875618,0.9538735128
