Code AGB,Code CIQUAL,Groupe d'aliment,Sous-groupe d'aliment,Nom du Produit en Français,LCI Name,Agriculture,Transformation,Emballage,Transport,Supermarché et distribution,Consommation
11084,11084,aides culinaires et ingrédients divers,algues,"Agar (algue), cru","Seaweed, agar, raw",4.5692586,1.4924151,0.29025198,0.38440419,0.020134715,0.0099427296
11023,11023,aides culinaires et ingrédients divers,herbes,"Ail séché, poudre","Garlic, powder, dried",0.066043008,0,0.47839023,0.18926756,0.015708527,0
11000,11000,aides culinaires et ingrédients divers,herbes,"Ail, cru","Garlic, fresh",0.08255376,0,0,0.17356263,0.019635659,0.080370398
11093,11093,aides culinaires et ingrédients divers,herbes,"Aneth, frais","Dill, fresh",0.22251419,0,0.32945583,0.16296786,0.019635659,0.080370398
20995,20995,aides culinaires et ingrédients divers,algues,"Ao-nori (Enteromorpha sp.), séchée ou déshydratée","Sea lettuce (Enteromorpha sp.), dried or dehydrated",4.5692586,1.4924151,0.29025198,0.38440419,0.020134715,0.0099427296
20998,20998,aides culinaires et ingrédients divers,algues,"Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté","North Atlantic rockweed (Ascophyllum nodosum), dried or dehydrated",4.5692586,1.4924151,0.29025198,0.19892614,0.020134715,0.0099427296
37000,37000,aides culinaires et ingrédients divers,ingrédients divers,Base de pizza à la crème,cream sauce for pizza base,1.4380756,0.29648764,0.11005412,0.11603438,0.019530673,0
37002,37002,aides culinaires et ingrédients divers,ingrédients divers,Base de pizza tomatée,Tomato sauce for pizza base,0.23297293,0.16802913,0.11005412,0.19066785,0.019530673,0
11033,11033,aides culinaires et ingrédients divers,herbes,"Basilic, frais","Basil, fresh",0.22251419,0,0.32945583,0.16296786,0.019635659,0.080370398
11032,11032,aides culinaires et ingrédients divers,herbes,"Basilic, séché","Basil, dried",0.88293631,0,0.47839023,0.17575,0.015708527,0
11507,11507,aides culinaires et ingrédients divers,ingrédients divers,Bicarbonate de soude,Sodium bicarbonate,0,0.90318532,0.10111942,0.10876678,0.016099071,0
11025,11025,aides culinaires et ingrédients divers,épices,"Cannelle, poudre","Cinnamon, powder",7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0
11075,11075,aides culinaires et ingrédients divers,épices,"Cardamome, poudre","Cardamom, powder",7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0
11064,11064,aides culinaires et ingrédients divers,épices,"Carvi, graine","Caraway, seed",7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0
11002,11002,aides culinaires et ingrédients divers,herbes,"Cerfeuil, frais","Chervil, fresh",0.22251419,0,0.32945583,0.16296786,0.019635659,0.080370398
11003,11003,aides culinaires et ingrédients divers,herbes,"Ciboule ou Ciboulette, fraîche","Chive or spring onion, fresh",0.08255376,0,0.32945583,0.16296786,0.019635659,0.080370398
11052,11052,aides culinaires et ingrédients divers,épices,Clou de girofle,Cloves,7.9104529,0.44488216,0.47839023,0.33480131,0.015708527,0
11094,11094,aides culinaires et ingrédients divers,herbes,"Coriandre, fraiche","Coriander, fresh",0.39568158,0,0.30248619,0.22559266,0.01727938,0.032148159
11026,11026,aides culinaires et ingrédients divers,épices,"Coriandre, graine","Coriander, seed",0.35971052,0,0.47839023,0.25043965,0.015708527,0
11172,11172,aides culinaires et ingrédients divers,aides culinaires,"Court-bouillon pour poissons, déshydraté","Aromatic stock cube, for fish, dehydrated",0.6070129,6.220799,2.3153095,0.23349741,0.019530673,0.02901211
39700,39700,aides culinaires et ingrédients divers,sauces,"Crème anglaise, préemballée","Light custard cream with vanilla, prepacked",1.1199501,0.18772836,0.17736425,0.21946904,0.039628148,0.0066875618
11042,11042,aides culinaires et ingrédients divers,épices,"Cumin, graine","Cumin, seed",7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0
11089,11089,aides culinaires et ingrédients divers,épices,"Curcuma, poudre","Turmeric, powder",7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0
11005,11005,aides culinaires et ingrédients divers,épices,"Curry, poudre","Curry, powder",7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0
20988,20988,aides culinaires et ingrédients divers,algues,"Dulse (Palmaria palmata), séchée ou déshydratée","Dulse (Palmaria palmata), dried or dehydrated",4.5692586,1.4924151,0.29025198,0.19892614,0.020134715,0.0099427296
11092,11092,aides culinaires et ingrédients divers,herbes,"Estragon, frais","Tarragon, fresh",0.19581249,0,0.30248619,0.14343405,0.01727938,0.032148159
11066,11066,aides culinaires et ingrédients divers,épices,"Fenouil, graine","Fennel, seed",0.35971052,0,0.47839023,0.25043965,0.015708527,0
11077,11077,aides culinaires et ingrédients divers,épices,"Fenugrec, graine","Fenugreek, seed",7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0
11082,11082,aides culinaires et ingrédients divers,sels,"Fleur de sel, non iodée, non fluorée","Pure sea salt, no enrichment",0.29805322,0,0.17736425,0.11062475,0.019530673,0
20994,20994,aides culinaires et ingrédients divers,algues,"Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté","Toothed wrack or bladder wrack (Fucus serratus et vesiculosus), dried or dehydrated",4.5692586,1.4924151,0.29025198,0.19892614,0.020134715,0.0099427296
11007,11007,aides culinaires et ingrédients divers,ingrédients divers,"Gélatine, sèche","Gelatine, dried",1.4507463,0.10160117,0.10111942,0.11277781,0.016099071,0
11006,11006,aides culinaires et ingrédients divers,épices,"Gingembre, poudre","Ginger, powder",0.1586463,0,0.47839023,0.32994269,0.015708527,0
11074,11074,aides culinaires et ingrédients divers,épices,"Gingembre, racine crue","Ginger, raw",0.1586463,0,0,0.27952523,0.015708527,0
20993,20993,aides culinaires et ingrédients divers,algues,"Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée","Gracilaria seaweeds (Gracilaria verrucosa), dried or dehydrated",4.5692586,1.4924151,0.29025198,0.38440419,0.020134715,0.0099427296
25620,25620,aides culinaires et ingrédients divers,sauces,"Guacamole, préemballé","Guacamole, prepacked",0.67373752,0.22830009,0.17097517,0.35103859,0.037393191,0.0066875618
20992,20992,aides culinaires et ingrédients divers,algues,"Haricot de mer (Himanthalia elongata), séchée ou déshydratée","Sea thong (Himanthalia elongata), dried or dehydrated",4.5692586,1.4924151,0.29025198,0.19892614,0.020134715,0.0099427296
11112,11112,aides culinaires et ingrédients divers,sauces,Harissa (sauce condimentaire),"Harissa (hot spicy sauce), prepacked",0.68572277,0.21092533,0.17736425,0.30380826,0.039628148,0.0066875618
11060,11060,aides culinaires et ingrédients divers,herbes,"Herbes de Provence, séchées","Provence herbs, dried",0.89176567,0,0.47839023,0.17602476,0.015708527,0
25621,25621,aides culinaires et ingrédients divers,sauces,Houmous,Hummus,0.30863861,0.15735649,0.17097517,0.27282249,0.037393191,0.0066875618
11008,11008,aides culinaires et ingrédients divers,sauces,Ketchup,Ketchup,0.21644734,0.20167969,0.22613436,0.25452378,0.039628148,0.0066875618
20991,20991,aides culinaires et ingrédients divers,algues,"Kombu breton (Laminaria digitata), séchée ou déshydratée","Tangle (Laminaria digitata), dried or dehydrated",4.5692586,1.4924151,0.29025198,0.19892614,0.020134715,0.0099427296
20990,20990,aides culinaires et ingrédients divers,algues,"Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée","Kombu or Japanese kelp (Laminaria japonica), dried or dehydrated",4.5692586,1.4924151,0.29025198,0.38440419,0.020134715,0.0099427296
